Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Home Office (excl agencies) ,Ministerial Department,Home Office,236,222.82,493,480.04,1153,1124.17,820,795.3,140,138.66,0,0,2842,2761,279,279,,,,,,,279,279,3121,3040,"£9,734,000","£1,590,000","-£8,000","£44,000","£2,217,000","£1,124,000","£14,701,000","£36,000","£3,431,000","£3,467,000","£18,168,000",
Criminal Records Bureau,Executive Agency,Home Office,248,224.75,160,151.38,101,98.72,21,20,3,3,0,0,533,497.84,0,0,,,,,,,0,0,533,497.84,"£1,384,000","£296,000",,,"£267,000","£142,000","£2,089,000","£7,000",,"£7,000","£2,096,000",
Identity & Passport Service,Executive Agency,Home Office,2004,1769.45,839,741.51,493,479.93,135,133.86,12,11.9,0,0,3483,3136.66,6,6,,,,,,,6,6,3489,3142.66,"£6,022,000","£21,000","£6,000","£24,000","£1,092,000","£407,000","£7,572,000","£101,000","£319,000","£420,000","£7,992,000",
UK Border Agency,Executive Agency,Home Office,6434,5911.01,8511,8056.18,4134,3978.23,611,598.2,53,53,0,0,19743,18596.62,172,172,,,,,,,172,172,19915,18768.62,"£42,866,000","£12,871,000","£4,000","£311,000","£9,835,000","£4,576,000","£70,463,000","-£3,228,000","£467,000","-£2,761,000","£67,702,000",
National Fraud Authority ,Executive Agency,Home Office,0,0,4,4,16,16,15,14.6,4,4,,,39,38.6,,,,,1,1,,,1,1,40,39.6,"£168,000",,,,"£35,000","£16,000","£219,000","£12,000",,"£12,000","£231,000",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Home Office,14,12.5,70,65.63,206,197.17,66,62.34,25,24,,,381,361.64,5,4.02,16,15,,,,,21,19.02,402,380.66,"£1,100,295","£77,369",,"£1,174","£223,844","£97,530","£1,500,212","£266,318",,"£266,318","£1,766,530",
Independent Police Complaints Commission,Executive Non-Departmental Public Body,Home Office,33,31.52,35,34.69,292,282.74,31,30.91,5,5,12,12,408,396.86,17,17,1,1,2,2,,,20,20,428,416.86,"£1,117,243","£58,675",,"£11,965","£228,101","£105,430","£1,521,413","£108,280",,"£108,280","£1,629,693",
Independent Safeguarding Authority,Executive Non-Departmental Public Body,Home Office,48,45.1,36,34.4,164,159.4,13,12.6,2,2,11,10.7,274,264.2,5,3.6,0,0,0,0,0,0,5,3.6,279,267.8,"£578,555","£2,696",£0,"£6,708","£102,436","£44,224","£734,619","£6,737",£0,"£6,737","£741,356",
National Policing Improvement Agency,Executive Non-Departmental Public Body,Home Office,52,48.5,203,199.9,659,646.1,346,338,24,24,40,38.9,1324,1295.4,2,2,0,0,34,34,0,0,36,36,1360,1331.4,"£3,880,093","£115,355",,"£41,307","£782,751","£344,288","£5,163,795","£415,175",,"£415,175","£5,578,970",
Office of the Immigration Services Commissioner,Executive Non-Departmental Public Body,Home Office,14,12.6,8,8,38,36.5,2,1.8,1,0.6,0,0,63,59.5,,,,,,,,,0,0,63,59.5,"£302,277",£627,"£11,382",,"£36,027","£17,269","£367,582",,,£0,"£367,582",Outstanding contractual pay awards for 2010 and 2011 were paid this month. These awards had been delayed due to the requirement to obtain legal advice and obtain approval from Home Office sponsor.
Security Industry Authority,Executive Non-Departmental Public Body,Home Office,38,36.6,21,21,88,87.6,21,21,4,4,5,5,177,175.2,10,10,9,9,,,,,19,19,196,194.2,"£478,318","£39,472","£31,400","£1,420","£93,972","£46,214","£690,795","£142,365",,"£142,365","£833,160",
Serious Organised Crime Agency,Executive Non-Departmental Public Body,Home Office,283,264.8,1426,1400.2,1671,1651.7,260,260,24,24,4,2.1,"3,668","3,603",40,39.1,40,40,9,9,,,89,88.1,"3,757","3,691","£10,953,128.00","£938,623.00","£21,726.00","£1,075,747.00","£2,315,340.00","£1,101,031.00","£16,405,595.00","£490,604.00",,"£490,604.00","£16,896,199.00",
