,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",143,138.28,414,407.28,1572,1542.58,1784,1732.43,265,256.37,0,0,4178,4076.93,34,33,0,0,10,7,97,69.7,141,109.7,"4,319","4,187","£15,222,362.82","£709,393.23","£215,250.00","£64,612.49","£4,318,446.46","£1,795,758.34","£22,325,823.34","£239,147.00","£4,222,568.00","£4,461,715.00","£26,787,538.34",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",51,44.61,300,278.59,529,490.71,47,44.28,5,5,,,932,863.19,,,,,,,,,0,0,932,863,"£2,221,517.29","£18,623.76",£0.00,"£13,425.30","£591,878.34","£225,534.43","£3,070,979.12",,,£0.00,"£3,070,979.12",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1087,1085.5,290.1,285,144.4,143,17,17,4,4,,,1542.5,1534.5,,,,,,,,,0,0,"1,543","1,535","£4,737,766.57","£171,744.32","£591,437.21","£737,071.15","£862,596.42","£743,074.47","£7,843,690.14",,,£0.00,"£7,843,690.14",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",12,10.8,33,32,154,151.6,53,52.6,3,3,0,0,255,250,6,5.4,0,0,0,0,0,0,6,5.4,261,255,"£779,475.66","£13,754.66","£3,585.63",£0.00,"£212,587.55","£84,498.04","£1,093,901.54","£20,345.46",£0.00,"£20,345.46","£1,114,247.00",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,1,1,8,8,19,17.83,5,4.2,,,33,31.03,,,,,,,,,0,0,33,31,"£243,382.63",£0.00,,,"£37,925.52","£17,798.24","£299,106.39",,,£0.00,"£299,106.39",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",443,382.62,253,237.59,238,229.34,52,50.86,6,6,,,992,906.41,3,3,,,,,11,11,14,14,"1,006",920,"£2,115,240.20","£23,046.10","£1,199,502.94","£15,285.34","£573,122.84","£364,416.39","£4,290,613.81","£19,131.71","£147,720.54","£166,852.25","£4,457,466.06",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,2,2,3,2.72,7,7,1,1,,,18,17.72,,,,,,,2,2,2,2,20,20,"£72,224.66",,,,"£20,250.17","£8,163.86","£100,638.69","£2,425.00",,"£2,425.00","£103,063.69",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1414,1347.07,2164,1876.36,1846,1654.04,234,217.12,19,18.84,0,0,5677,5113.43,0,0,22,22,0,0,0,0,22,22,"5,699","5,135","£12,316,082.73","£239,335.69","£16,243.98","£1,153,338.64","£3,315,728.49","£10,373,978.75","£27,414,708.28","£67,656.25","£20,627.71","£88,283.96","£27,502,992.24",
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",555,519.23,194,184.92,761,729.55,123,120.35,11,11,,,1644,1565.03,35,35,,,13,13,,,48,48,"1,692","1,613","£4,185,436.36","£15,090.09","£65,350.00","£36,476.68","£1,132,560.33","£439,043.11","£5,873,956.57","£736,973.67",,"£736,973.67","£6,610,930.24",
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",202,185.47,346,317.88,398,382.59,306,288.27,26,26,,,1278,1200.21,29,29,,,51,50.6,,,80,79.6,"1,358","1,280","£3,579,315.00","£145,324.00","£81,211.00","£93,324.00","£1,022,047.00","£504,263.00","£5,425,484.00","£494,757.00",,"£494,757.00","£5,920,241.00",
