"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",194,176.79,604,583.76,2633,2539.12,1720,1661,175,169.06,63,63,"5,389",5192.73,130,129.7,0,0,420,419.8,60,58.65,610,608.15,"5,999",5800.88,"£23,181,491","£53,170","£183,382","£155,756","£4,894,905","£2,049,077","£30,517,781","£10,698,361","£1,773,717","£12,472,078","£42,989,859",,
Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",896,839.59,742,702.73,834,791.44,178,173.07,4,4,0,0,"2,654",2510.83,128,128,20,20,0,0,0,0,148,148,"2,802",2658.83,"£6,334,068","£164,031",£0,"£335,085","£1,751,656","£679,768","£9,264,608","£290,028",£0,"£290,028","£9,554,636",,
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",61,56.3,124,113.39,318,301.58,113,107.3,4,4,0,0,620,582.57,0,0,0,0,0,0,0,0,0,0,620,582.57,"£1,675,435","£4,669",£0,"£38,515","£451,134","£163,168","£2,332,921",£0,£0,£0,"£2,332,921",,
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1010,909.48,614,561.71,445,414.98,95,92.43,6,6,0,0,"2,170",1984.6,403,387.35,0,0,6,6,0,0,409,393.35,"2,579",2377.95,"£4,412,781","£3,910","£6,175","£106,680","£1,166,157","£403,636","£6,099,338","£1,002,095",£0,"£1,002,095","£7,101,433",,
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",35,34.24,24,23.25,47,45.37,56,55.51,3,3,0,0,165,161.37,21,20.4,0,0,0,0,44,42.42,65,62.82,230,224.19,"£557,618","£24,278",£0,£0,"£157,315","£64,238","£803,449","£73,803","£454,172","£527,975","£1,331,424",,
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,511,488.97,511,488.97,0,0,0,0,0,0,0,0,0,0,511,488.97,"£1,634,619","£90,565",£0,£0,"£149,128","£190,183","£2,064,495",£0,£0,£0,"£2,064,495",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. ,
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.27,25,24.17,19,18.28,13,12.57,5,4.87,0,0,71,68.16,11,11,0,0,1,0.6,0,0,12,11.6,83,79.76,"£212,678","£2,599",£0,"£3,437","£54,809","£22,990","£296,514","£38,223",£0,"£38,223","£334,736",,
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1641,1540.29,2686,2533,3349,3146.11,2187,2083.52,94,93.43,842,828.66,"10,799",10225.01,203,199.17,24,22.07,3,2.6,223,181.45,453,405.29,"11,252",10630.3,"£29,587,585","£308,073",£306,"£2,501,679","£4,635,125","£3,378,040","£40,410,808","£457,924","£3,175,859","£3,633,782","£44,044,590",,
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.5,31,30.6,153,145.04,27,26.3,2,2,7,0.94,229,213.38,2,2,,,1,1,1,1,4,4,233,217.38,"£577,898","£5,858",£444,"£2,809","£157,252","£59,033","£803,294","£10,458","£4,997","£15,454","£818,748",,
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",38,34.24,160,155.94,130,125.18,47,46.71,7,6.19,0,0,382,368.26,28,27.5,18,17.6,7,6.4,0,0,53,51.5,435,419.76,"£1,020,813",£0,£0,"£6,445","£268,386","£102,831","£1,398,475","£441,740",£0,"£441,740","£1,840,215",,
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,21,19.83,4,4,1,1,0,0,30,28.14,0,0,0,0,0,0,0,0,0,0,30,28.14,"£86,183",£0,£0,£0,"£23,928","£8,849","£118,961",£0,£0,£0,"£118,961",,
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",141,131.34,324,309.32,1519,1415.29,209,199.51,19,18.9,11,10.65,"2,223",2085.01,18,16.98,0,0,0,0,0,0,18,16.98,"2,241",2101.99,"£5,555,019","£62,914","£3,550","£12,729","£1,508,832","£548,640","£7,691,685","£20,000",£0,"£20,000","£7,711,685",,
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",278,208.06,214,161.17,256,245.4,81,78.85,8,8,75,73.56,912,775.04,8,7.5,3,3,4,4,0,0,15,14.5,927,789.54,"£2,194,157","£11,638",£0,"£17,888","£520,086","£228,059","£2,971,828","£142,635","£31,870","£174,504","£3,146,332",,
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",25,24.46,34,33.39,19,19,5,5,1,1,0,0,84,82.85,0,0,0,0,0,0,0,0,0,0,84,82.85,"£276,901","£3,315",£0,£0,"£40,613","£30,220","£351,048",£0,£0,£0,"£351,048",,
Total,,,4337,3971.56,5586,5235.74,9743,9226.62,4735,4545.77,329,321.45,1509,1465.78,"26,239",24766.92,952,929.6,65,62.67,442,440.4,328,283.52,1787,1716.19,"28,026",26483.11,"£77,307,246","£735,020","£193,857","£3,181,023","£15,779,326","£7,928,732","£105,125,204","£13,175,265","£5,440,613","£18,615,879","£123,741,083",,
