,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",102,97.03,426,417.35,1718,1687.34,1903,1845.43,267,255.84,149,147.22,4565,4450.21,12,12,,,39,31,42,41.26,93,84.26,"4,658","4,534","£16,341,741.10","£762,129.57","£117,050.00","£46,744.31","£4,597,664.75","£1,923,178.65","£23,788,508.38","£174,089.00","-£2,062,262.00","-£1,888,173.00","£21,900,335.38"
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",50,44.37,323,302.49,532,495.59,50,45.78,6,6,,,961,894.23,,,,,,,,,0,0,961,894,"£2,306,317.12","£22,072.36",£0.00,"£16,199.59","£618,919.08","£229,357.41","£3,192,865.56",,,£0.00,"£3,192,865.56"
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1378,1350.37,136,131.43,31,29.8,0,0,0,0,0,0,1545,1511.6,0,0,0,0,0,0,0,0,0,0,"1,545","1,512","£4,573,961.06","£132,911.50","£22,251.57","£579,287.26","£858,766.18","£587,764.20","£6,754,941.77",,,£0.00,"£6,754,941.77"
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.4,28,27,163,159.9,54,53.6,3,3,0,0,262,255.9,6,5.2,0,0,0,0,0,0,6,5.2,268,261,"£909,068.28","£22,789.01","£1,773.32",£276.44,"£248,309.35","£102,909.26","£1,285,125.66","£46,590.22",£0.00,"£46,590.22","£1,331,715.88"
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,1,1,9,8.38,18,15.39,6,5.3,0,0,35,31.07,0,0,0,0,0,0,0,0,0,0,35,31,"£144,646.00",£0.00,£0.00,£0.00,"£39,512.00","£16,608.00","£200,766.00",,,£0.00,"£200,766.00"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",450,393.01,284,267.4,259,249.22,57,56.06,6,6,0,0,1056,971.69,8,8,0,0,0,0,35,35,43,43,"1,099","1,015","£2,536,248.94","£24,935.43",£0.00,"£24,703.34","£6,507,155.35","£248,909.91","£9,341,952.97","£27,604.85","£405,402.87","£433,007.72","£9,774,960.69"
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,2,2,3,2.72,7,7,0,0,1,1,18,17.72,0,0,0,0,0,0,2,2,2,2,20,20,"£91,208.58",£0.00,"£11,975.00",£0.00,"£25,407.47","£12,453.26","£141,044.31",£0.00,"£3,550.00","£3,550.00","£144,594.31"
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1470,1392.62,2183,1888.93,1864,1664.02,240,221.68,23,22.84,0,0,5780,5190.1,0,0,29,29,0,0,0,0,29,29,"5,809","5,219","£12,466,439.09","£288,769.17","£45,468.00","£1,164,510.79","£3,365,451.72","£10,517,530.84","£27,848,169.61","£81,937.06","£218,338.30","£300,275.36","£28,148,444.97"
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",557,523.99,195,183.57,763,730.72,129,126.4,10,10,0,0,1654,1574.68,66,66,0,0,13,13,0,0,79,79,"1,733","1,654","£4,268,266.45","£17,817.23","£109,600.00","£41,147.88","£1,173,654.00","£466,206.39","£6,076,691.95","£724,689.06",£0.00,"£724,689.06","£6,801,381.01"
