Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,113,109.55,203,195.58,676,664.68,565,548.95,115,112.49,0,0,"1,672","1,631",15,14.6,27,26.97,30,30,0,0,72,71.57,"1,744","1,703","£6,295,700.83","£18,395.49","£25,867.00","£58,059.49","£1,255,808.72","£586,390.01","£8,240,221.54","£479,881.53","£462,018.93","£941,900.46","£9,182,122.00",,
Driving Standards Agency,Executive Agency,Department for Transport,323,274.13,1919,1803.35,239,233.02,46,45.09,3,3,0,0,"2,530","2,359",0,0,0,0,0,0,0,0,0,0,"2,530","2,359","£4,958,285.00","£116,594.00",£400.00,"£209,455.00","£923,364.00","£387,689.00","£6,595,787.00","£5,481.29",£400.00,"£5,881.29","£6,601,668.29",,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4552,4053.58,914,867.26,680,665.22,126,122.1,9,9,0,0,"6,281","5,717",0,0,1,0.68,19,17.53,0,0,20,18.21,"6,301","5,735","£9,909,620.24","£98,739.45","£1,397.30","£351,238.49","£1,762,696.73","£652,589.35","£12,776,281.56","£329,316.22","£116,847.00","£446,163.22","£13,222,444.78",,
Government Car & Despatch Agency,Executive Agency,Department for Transport,7,7,80,76,11,11,2,2,0,0,0,0,100,96,0,0,0,0,0,0,0,0,0,0,100,96,"£1,464,223.03","£26,753.61","£38,400.00","£45,346.94","£60,484.93","£190,383.49","£1,825,592.00","£20,699.00",£0.00,"£20,699.00","£1,846,291.00",,
Highways Agency,Executive Agency,Department for Transport,1511,1473.2,317,299.21,1280,1242.11,284,274.34,28,26.59,0,0,"3,420","3,315",0,0,0,0,24,20.48,0,0,24,20.48,"3,444","3,336","£7,750,056.82","£627,409.10","£3,641.21","£102,444.22","£1,541,148.86","£663,774.50","£10,688,474.71","£386,264.76",,"£386,264.76","£11,074,739.47",,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,480,440.54,236,224.83,294,277.66,111,109.13,5,4.49,0,0,"1,126","1,057",5,5,0,0,0,0,0,0,5,5,"1,131","1,062","£2,431,116.02","£227,378.86","£9,500.00","£225,391.66","£506,270.47","£232,581.55","£3,632,238.56","£11,885.27","£1,251.22","£13,136.49","£3,645,375.05",,
Vehicle Certification Agency,Executive Agency,Department for Transport,42,36.71,36,34.1,72,71,10,10,1,1,0,0,161,153,2,2,0,0,0,0,0,0,2,2,163,155,"£433,148.00","£22,133.00",£0.00,"£8,148.00","£77,044.00","£76,276.00","£616,749.00","£22,844.65",£707.20,"£23,551.85","£640,300.85",,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1019,953.93,798,783.96,377,372.29,36,35.42,3,3,0,0,"2,233","2,149",55,53.8,11,11,0,0,0,0,66,64.8,"2,299","2,213","£4,506,966.54","£308,257.33","£8,500.00","£293,588.45","£888,665.33","£388,194.78","£6,394,172.43","£161,080.52",£0.00,"£161,080.52","£6,555,252.95",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,4.4,2,1.6,2,2,0,0,10,9,0,0,0,0,0,0,0,0,0,0,10,9,"£33,946.00","£3,327.00",£0.00,£0.00,"£4,709.00","£3,258.00","£45,240.00","£49,047.74","£14,008.30","£63,056.04","£108,296.04",,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,4,1.89,4,2,0,0,0,0,3,1.7,0,0,3,1.7,7,4,"£27,174.00",£0.00,£0.00,£0.00,£0.00,"£1,627.00","£28,801.00","£26,800.00",,"£26,800.00","£55,601.00",,
