Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,67,64.2,189,185.3,610,589.8,467,454.9,82,80.8,0,0,"1,415","1,375",4,4.0,2,2.0,41,40.2,4,4.0,51,50.2,"1,466","1,425","£4,864,173.10","£96,192.28","£54,877.00","£27,997.53","£1,050,336.92","£564,293.51","£6,657,870.34","£89,981 ","£5,400.00","£95,381.00","£6,753,251.34",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,157,141.8,93,84.2,89,85,315,277.4,7,7,0,0,661,595,11,11,0,0,56,13.4,0,0,67,24.4,728,620,"£1,960,643.61","£46,742.26",£0.00,"£2,463.11","£423,813.92","£213,996.26","£2,647,659.16","£131,273.39",£0.00,"£131,273.39","£2,778,932.55",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,15,15,25,25,5,5,1,1,0,0,50,50,1,1,0,0,0,0,3,3,4,4,54,54,"£162,199.22",£793.00,£750.00,"£7,525.37","£31,399.18","£18,481.30","£221,148.07",£460.00,"£2,895.00","£3,355.00","£224,503.07",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,16,15.42,193,184.6,248,243.93,269,266.26,45,44.28,0,0,771,754,7,7,3,3,7,7,0,0,17,17,788,771,"£3,051,273.98","£127,028.94",£0.00,"£2,630.73","£703,486.75","£367,734.64","£4,252,155.04","£69,759.68",£0.00,"£69,759.68","£4,321,914.72",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,53,52,53,52,15,15,0,0,0,0,0,0,15,15,68,67,"£194,697.39",£0.00,£0.00,£0.00,"£37,571.27","£20,763.07","£253,031.73","£50,759.57",£0.00,"£50,759.57","£303,791.30",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,17,16.3,0,0,1,1,0,0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£68,941.41",£0.00,£0.00,£0.00,"£7,163.08","£7,017.17","£83,121.66",£0.00,£0.00,£0.00,"£83,121.66",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,19,17.78679,33,32.77297,14,13.73611,2,2,1,1,0,0,69,67,4,4,0,0,0,0,0,0,4,4,73,71,"£202,397.06","£1,367.16",£0.00,£0.00,"£28,683.67","£23,683.67","£256,131.56","£17,424.03",£0.00,"£17,424.03","£273,555.59",,Currently in process of recruiting to a number of vacant posts,,
