Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2022,June,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",65,63.17,411,401.32,2438,2404.44,2657,2588.21,332,318.82,0,0,5903,5775.96,9,9,316,251.6,0,0,325,260.6,0,6228,6036.56,"£22,710,171.01","£917,971.54","£125,850.00","£59,302.51","£6,351,326.51","£2,887,046.34","£33,051,667.91","£374,576.00","-£740,786.00","-£366,210.00","£32,685,457.91",Unable to provide the  number of Consultancy/Consultants contracts. On going discussions between HR & Finance to provide this data
2022,June,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",48,40.9,304,285.06,601,559.19,56,52.43,8,8,0,0,1017,945.58,0,0,0,0,0,0,0,0,0,1017,945.58,"£2,581,464.26","£20,246.11","£6,725.00","£3,312.58","£697,455.67","£282,562.70","£3,591,766.32",£0.00,£0.00,£0.00,"£3,591,766.32",
2022,June,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1437,1398.8,166,161.15,33,31.6,0,0,0,0,0,0,1636,1591.55,0,0,0,0,0,0,0,0,0,1636,1591.55,"£5,057,279.65","£94,978.76","£23,198.37","£750,569.60","£1,016,025.66","£734,187.17","£7,676,239.21",£0.00,£0.00,£0.00,"£7,676,239.21",
2022,June,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,8.8,29,27.17,192,187.21,75,75,3,3,0,0,309,301.18,13,11.1,0,0,0,0,13,11.1,0,322,312.28,"£1,016,458.87","£14,577.71","£850,864.26",£604.44,"£277,109.79","£248,512.45","£2,408,127.52","£62,973.00",£0.00,"£62,973.00","£2,471,100.52",
2022,June,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,26,24.6,5,5,0,0,48,46.6,0,0,0,0,0,,0,0,0,48,46.6,"£242,777.00",£0.00,£0.00,£0.00,"£42,594.00","£31,416.00","£316,787.00",£0.00,£0.00,£0.00,"£316,787.00",
2022,June,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",451,398.88,325,305.38,337,325.2,93,91.48,7,7,0,0,1213,1127.94,0,0,25,25,0,0,25,25,0,1238,1152.94,"£2,909,617.71","£90,970.53","£62,600.00","£35,001.89","£793,335.03","£329,588.96","£4,221,114.12","£299,988.60",£0.00,"£299,988.60","£4,521,102.72",
2022,June,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,1,1,3,2.8,9,9,0,0,1,1,19,18.8,0,0,0,0,0,0,0,0,2,19,18.8,"£82,380.34",£216.66,0,0,"£23,026.54","£10,251.99","£115,875.53",£0.00,"£4,050.00","£4,050.00","£119,925.53",
2022,June,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1675,1572.652477,2346,2088.1753,2238,2022.21539,317,302.009009,27,27,0,0,6603,6012.052177,0,0,0,0,0,0,0,0,2,6603,6012.052177,"£15,834,862.68","£242,966.69",£200.00,"£1,756,963.05","£4,263,261.41","£13,665,579.91","£35,763,833.74","£363,708.37","£6,202.57","£369,910.94","£36,133,744.68",
2022,June,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",549,512.171,203,193.317,773,742.445,145,141.476,12,12,0,0,1682,1601.409,0,0,0,0,0,0,0,0,0,1682,1601.409,"£4,459,214.84","£21,858.24","£49,150.00","£1,300.33","£1,215,772.48","£510,839.04","£6,258,134.93","£1,026,223.10",£0.00,"£1,026,223.10","£7,284,358.03",
2022,June,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",238,217.76,472,442.84,606,582.99,387,366.53,24,23.7,0,0,1727,1633.82,0,0,0,0,0,0,0,0,4,1727,1633.82,"£5,084,417.00","£191,425.00","£100,354.00","£130,807.00","£1,437,608.00","£623,976.00","£7,568,587.00","£978,127.00",£0.00,"£978,127.00","£8,546,714.00",
2022,June,Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",137,136.4,210,204.1,1253,1170.1,610,574.38,10,10,0,0,2220,2094.98,0,0,0,0,0,0,0,0,0,2220,2094.98,"£6,820,889.91","£714,643.47",£0.00,£0.00,"£978,522.14","£1,895,189.39","£10,409,244.91","£944,508.94",£0.00,"£944,508.94","£11,353,753.85",
2022,June,Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,356,348.46,356,348.46,3,3,21,21,0,0,24,24,0,380,372.46,"£2,088,889.10","£81,823.89",£0.00,£0.00,"£570,816.32","£1,242,774.23","£3,984,303.54","£356,005.87",£0.00,"£356,005.87","£4,340,309.41",
2022,June,UKAEA,Executive non-departmental public body,,81,75.85,234,230.94,926,913.33,348,337.23,15,14.5,94,94,1698,1665.85,0,0,606,606,0,0,606,606,0,2304,2271.85,"£6,443,360.71","£7,087.42","£365,304.48","£83,276.05","£1,237,690.29","£823,137.27","£8,959,856.22","£3,460,451.28",£0.00,"£3,460,451.28","£12,420,307.50",
2022,June,UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,13,13,122,121.4,115,113.8,10,10,0,0,261,259.2,1,1,13,13,0,0,14,14,1,275,273.2,"£1,014,439.35","£27,403.85",£0.00,£0.00,"£279,667.18","£126,603.50","£1,448,113.88","£105,567.71",£0.00,"£105,567.71","£1,553,681.59",
2022,June,UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",620,580.2,1062,1014.28,4208,4063.28,1465,1405.95,245,234.03,232,221.52,7832,7519.26,0,0,0,0,0,0,0,0,0,7832,7519.26,"£24,739,444.15","£1,139,569.42","£29,299.98","£153,917.98","£20,770,760.11","£3,008,856.56","£49,841,848.20","£1,421,900.75","£43,827.56","£1,465,728.31","£51,307,576.51",Unable to provide the  number of Consultancy/Consultants contracts. On going discussions between HR & Finance to provide this data
