,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",110,105.2,407,397.8,1601,1572.4,1692,1639.9,246,238.6,,,4056,3953.9,8,8,,,50,49.3,2,2,60,59,"4,116","4,013","£14,691,021.65","£729,943.97","£444,550.00","£60,285.96","£3,267,900.09","£1,772,034.92","£20,965,736.59","£627,589.00","-£42,080.00","£585,509.00","£21,551,245.59",
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Energy and Industrial Strategy",52,45.60545045,311,289.9,531,491.97,49,46.01,6,5.6,,,949,879.0854505,,,,,,,,,0,0,949,879,"£2,331,111.00","£19,481.52","£6,650.00","£29,428.04","£472,624.25","£237,303.45","£3,096,598.26",,,£0.00,"£3,096,598.26",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,non submission
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.8,29,28.2,154,152,54,53.5,3,3,0,0,254,249.5,16,10.4,0,0,0,0,0,0,16,10,270,260,"£808,361.61","£13,813.02",£400.00,"£5,109.91","£168,227.85","£87,804.44","£1,083,716.83","£65,478.34",£0.00,"£65,478.34","£1,149,195.17",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,1,1,9,7.68,21,19.33,6,6,,,37,34.01,,,,,,,,,0,0,37,34,"£274,344.98",£0.00,,,"£29,423.23","£17,231.52","£320,999.73",,,£0.00,"£320,999.73",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",454,393,247,232,221,214,47,46,6,6,,,975,891,1,1,,,,,11,11,12,12,987,903,2070055.03,29612.32,,17481.71,431401.08,196903.56,"£2,745,453.70","£2,029.10","143,517.83","£145,546.93","£2,891,000.63",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,2,2,3,2.72,7,7,1,1,,,18,17.72,,,,,,,2,2,2,2,20,20,"£91,273.45",,"£15,526.00",,"£19,717.10","£12,700.36","£139,216.91",,"£4,200.00","£4,200.00","£143,416.91",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,on hold/delayed
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",553,516.96,195,186.14,762,731.4,123,120.53,10,10,0,0,"1,643","1,565.03",34,34,0,0,25,25,0,0,59,59,"1,702","1,624","£4,196,565.00","£14,500.00","£71,550.00","£39,636.00","£860,901.00","£445,858.00","£5,629,010.00","£532,965.00",£0.00,"£532,965.00","£6,161,975.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1893,1802.5,1893,1802.5,34,30.6,,,42,39,22,12.2,98,82,"1,991","1,884","£5,634,002.00","£313,694.00",£0.00,£0.00,"£1,223,871.00","£607,068.00","£7,778,635.00","£702,919.00","£82,754.00","£785,673.00","£8,564,308.00",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,250,237.38,250,237.38,15,15,58,55.8,,,,,73,71,323,308,"£1,350,810.61","£63,382.85",£0.00,£0.00,"£273,334.30","£170,027.23","£1,857,554.99","£540,704.64",,"£540,704.64","£2,398,259.63",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",65,60.29,131,128.36,569,559.73,194,184.42,13,12.3,48,48,"1,020",993.1,4,4,0,0,329,329,0,0,333,333,"1,353","1,326","£2,796,623.96",£0.00,"-£113,623.27","£47,960.76","£430,701.97","£301,572.34","£3,463,235.76","£1,812,814.48",£0.00,"£1,812,814.48","£5,276,050.24",Allowances included in salary costs.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,11,11,82,81.194,82,81.18,9,8.7,0,0,185,183.074,2,2,0,0,11,11,0,0,13,13,198,196,"£672,571.53","£13,623.32",£600.00,£0.00,"£148,356.96","£76,588.88","£911,740.69","£17,341.78","£150,303.88","£167,645.66","£1,079,386.35",
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",703,643,"1,221","1,150.00","4,078","3,940.00","1,121","1,068.00",171,164,459,423,"7,753","7,388.00",74,74,23,23,27,27,8,8,132,132,"7,885","7,520",,"£1,230,957.11","£1,205,733.54","£177,489.65","£5,540,372.77","£2,815,964.04","£10,970,517.11","£2,151,177.06","£483,326.14","£2,634,503.20","£13,605,020.31",
