Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,105,98.21,755,729.84,2117,2046.91,1739,1668.32,184,175.58,,,4900,4718.86,19.8,19.8,,,214,214,,,233.8,233.8,5133.8,4952.66,19496606.7,242737.25,136575.4,46351.84,5108684.42,2220858.41,27251814.02,1995443.27,966159.5,2961602.77,30213416.79,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,32,29.97,209,201.55,884,856.57,512,499.1,44,41.91,,,1681,1629.1,1,1,,,338,338,,,339,339,2020,1968.1,9743499.86,33353.12,176817.62,4676.51,1643698.89,695193.3,12297239.3,25049.54,6168,31217.54,12328456.84,
Teaching Regulation Authority,Executive Agency,Department for Education,12,11.93,23,22.41,23,21.43,7,6.87,1,1,,,66,63.64,6,6,0,0,0,0,0,0,6,6,72,69.64,165105.94,-94.1,21235,,47688,21751.7,255686.54,17828.72,0,17828.72,273515.26,
Standards and Testing Agency,Executive Agency,Department for Education,,,24,23.18,75,73.01,38,37,5,4.92,,,142,138.11,,,,,26,19,,,26,19,168,157.11,502649.92,7959.66,57505,385.07,141313.46,64565.71,774378.82,58022.46,58317.98,116340.44,890719.26,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,4,3.8,15,14,7,6.6,4,3.8,0,0,31,29.2,0,0,0,0,0,0,1,0.4,1,0.4,32,29.6,117797.19,1238.92,0,0,33198.06,13207.18,165441.35,0,3000,3000,168441.35,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,158,141.86,459,451,281,275.64,19,18.79,6,6,2,1.2,925,894.49,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1104,999.79,2652297.06,177302.08,0,15262.24,191167.18,272595.87,3308624.43,573758.61,3407,577165.61,3885790.04,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,29,27,26,25,4,4,,,,,69,66,,,,,2,0.6,2,0.3,4,0.9,73,66.9,250331,31820,0,0,35673,31733,349557,12500,2645,15145,364702,
Office for Students,Executive Non-Departmental Public Body,Department for Education,22,20.97,12,10.48,200,184.95,138,127.34,39,37.07,,,411,380.81,5,5,,,9,9,,,14,14,425,394.81,1318391.96,15181.25,0,490.72,356687.75,135323.43,1826075.11,71132.63,,71132.63,1897207.74,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2256,2145.72136,1017,984.30344,222,217.2010667,23,22.8,6,6,0,0,3524,3376.025867,37,37,0,0,6,6,0,0,43,43,3567,3419.025867,6901543.63,215381.98,3295.23,133764.02,1247988.2,626348.97,9128322.03,200949.93,0,200949.93,9329271.96,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,2,2,11,11,49,48.1,104,101.22,10,10,,,176,172.32,8,8,,,,,,,8,8,184,180.32,777280.42,721,33132,,200306.89,95270.75,1106711.06,-7666.09,,-7666.09,1099044.97,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,4,4,2,2,46,44.4,52,50.4,,,,,,,,,0,0,52,50.4,300653.4,,,,11969.21,27761.44,340384.05,,,0,340384.05,
