,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",95,90.51,425,414.55,1970,1940.45,2096,2037.29,283,270.87,92,66.88,4961,4820.55,8,8,0,0,36,30,7,2.26,51,40.26,"5,012","4,860.81","£17,618,691.96","£917,138.20","£114,250.00","£72,573.83","£4,960,644.74","£2,080,772.17","£25,764,070.90","£933,461.00","£5,091,433.00","£6,024,894.00","£31,788,964.90",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",50,43.47,331,312.28,569,529.48,52,47.99,6,6.00,0,0,1008,939.22,24,24,4,4,0,0,12,12,40,40.00,"1,048",979.22,"£2,439,373.90","£20,775.88","£24,191.04","£10,533.74","£651,983.43","£244,325.68","£3,391,183.67",£0.00,£0.00,£0.00,"£3,391,183.67",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1434,1405.50,154,148.65,30,28.80,0,0.00,0,0.00,0,0,1618,1582.95,0,0,0,0,0,0,0,0,0,0.00,"1,618","1,582.95","£4,847,259.55","£119,909.72","£24,349.37","£354,443.72","£905,350.80","£582,755.08","£6,834,068.24",,,£0.00,"£6,834,068.24",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.80,26,25.40,158,154.50,57,56.80,2,2.00,0,0,256,250.50,7,7,0,0,0,0,0,0,7,7.00,263,257.50,"£812,951.53","£17,783.07","£2,518.11",£0.00,"£220,835.62","£88,757.70","£1,142,846.03","£39,294.49",£0.00,"£39,294.49","£1,182,140.52",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,11,10.30,19,17.63,5,4.90,0,0,37,34.83,0,0,0,0,0,0,0,0,0,0.00,37,34.83,"£157,238.00",£0.00,£0.00,£0.00,"£40,691.00","£17,013.00","£214,942.00",,,£0.00,"£214,942.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",447,390.70,281,265.91,280,269.33,70,69.03,6,6.00,0,0,1084,1000.97,7,7,0,0,38,38,0,0,45,45.00,"1,129","1,045.97","£2,431,725.60","£35,308.84","£48,858.36","£37,818.26","£660,102.12","£242,227.78","£3,456,040.96","£10,525.63","£449,829.68","£460,355.31","£3,916,396.27",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,9,9.00,0,0.00,1,1,19,18.72,0,0,0,0,0,0,2,2,2,2.00,21,20.72,"£84,868.13",£216.66,"£5,500.00",£0.00,"£20,444.43","£10,581.34","£121,610.56",£0.00,"£3,775.00","£3,775.00","£125,385.56",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1621,1534.39,2173,1887.45,1913,1712.61,253,235.68,22,22.00,0,0,5982,5392.13,0,0,36,36,0,0,0,0,36,36.00,"6,018","5,428.13","£13,512,475.89","£298,876.71",£0.00,"£1,385,567.50","£3,660,151.88","£11,643,639.42","£30,500,711.40","£186,589.44","-£2,878.53","£183,710.91","£30,684,422.31",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",574,540.24,196,185.64,777,744.62,141,138.02,9,9.00,0,0,1697,1617.51,70,70,0,0,6,6,0,0,76,76.00,"1,773","1,693.51","£4,370,357.93","£15,660.60",£0.00,"£5,924.95","£1,187,590.41","£444,122.96","£6,023,656.85","£479,230.68",£0.00,"£479,230.68","£6,502,887.53",,,
