Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",60,53.2,268,244.9,494,453.4,38,35.7,3,3,2,1.2,865,791,12,12,0,0,0,0,4,4,16,16,881,807,"£2,187,447.79","£18,232.74",£0.00,"£7,171.43","£395,587.34","£170,365.77","£2,778,805.07","£5,858.61","£29,225.00","£35,083.61","£2,813,888.68",
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",5,4.56,33,31.57,53,50.36,12,11.79,4,3.1,,,107,101,1,1,,,10,10,,,11,11,118,112,"£274,458.71","£2,868.38","£2,961.86",£444.95,"£68,726.08","£20,288.75","£369,748.73","£111,071.66",,"£111,071.66","£480,820.39",
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",196,175.48,311,292.83,718,672.55,198,183.09,43,41.37,0,0,"1,466","1,365",12,12,,,1,1,1,0.2,14,13.2,"1,480","1,379","£4,162,346.54","£71,933.64",,"£31,858.06","£1,052,923.55","£339,927.44","£5,658,989.23","£41,454.54","£5,000.00","£46,454.54","£5,705,443.77",
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",160,153.319,394,383.067,1154,1127.37,1174,1133.208,207,199.328,0,0,"3,089","2,996",65,65,6,6,52,52,55,55,178,178,"3,267","3,174","£11,256,381.93","£301,763.01","£31,050.00","£39,102.09","£2,243,062.18","£1,008,123.33","£14,879,482.54","£1,284,655.00","£1,655,390.00","£2,940,045.00","£17,819,527.54",Included Headcount and Salary data for UKTI.
Companies House ,CH,"Department for Business, Innovation & Skills",517,443.55,258,244.43,143,138.83,31,29.91,4,4,,,953,861,,,,,,,19,19,19,19,972,880,"£1,835,928.75","£39,633.99",£800.00,"£40,292.93","£359,578.78","£134,955.49","£2,411,189.94",,"£215,394.00","£215,394.00","£2,626,583.94",
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.888,6,5.6,3,3,1,1,,,15,14,,,,,,,,,0,0,15,14,"£52,048.00",,,,"£10,817.81","£4,652.88","£67,518.69",,,£0.00,"£67,518.69",
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",422,392.26,620,608.27,328,321.91,21,21,6,6,0,0,"1,397","1,349",39,31.09,5,3.57,64,48.61,8,2.1,116,85.37,"1,513","1,435","£3,391,954.79","£173,857.14",£0.00,"£31,998.84","£460,066.22","£283,502.97","£4,341,379.96","£315,248.32","£10,507.60","£325,755.92","£4,667,135.88",
Economic & Social Research Council,ESRC,"Department for Business, Innovation & Skills",14,11.66,36,34.29,76,73.6,16,15.91,3,2.95,,,145,138,1,1,,,,,,,1,1,146,139,"£372,496.39","£2,845.10",£75.00,,"£94,610.48","£26,078.62","£496,105.59","£1,653.75",,"£1,653.75","£497,759.34",
