Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,175,163.14,220,212.93,639,625.10,611,592.51,119,116.16,0,0.00,1764,1709.85,17,17.00,0,0.00,108,97.47,0,0,125,114.47,1889,1824.32,6993074.85,26063.68,-7502.69,75674.26,1367807.59,657332.02,9112449.71,1080077.412,3540626.58,4620703.992,13733153.7,,,1080077.412,3540626.58,4620703.992
Driving Standards Agency,Executive Agency,Department for Transport,220,180.98,1696,1575.71,302,296.28,40,39.83,0,0.00,0,0.00,2258,2092.80,13,13.00,0,0.00,0,0.00,0,0,13,13.00,2271,2105.80,4559230.11,101614.12,86493.75,274437.7,888758.5,378987.32,6289521.5,61368.87,42347.82,103716.69,6393238.19,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4352,3811.41,744,699.41,598,571.26,124,119.28,7,7.00,0,0.00,5825,5208.35,0,0.00,1,0.83,3,2.43,0,0,4,3.26,5829,5211.61,9252462,82250,96070,273310,1686353,596692,11987137,111886,13150,125036,12112173,,,,,
Highways Agency,Executive Agency,Department for Transport,1393,1345.11,370,347.19,1433,1388.51,361,348.89,35,34.14,0,0.00,3592,3463.83,0,0.00,110,33.25,0,0.00,0,0,110,33.25,3702,3497.08,8834654.51,602950.23,18492.94,136383.78,1813351.12,777484.57,12183317.15,1125988.29,,1125988.29,13309305.44,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,419,384.70,228,218.05,299,274.37,104,100.60,5,5.00,0,0.00,1055,982.72,27,27.00,0,0.00,0,0.00,0,0,27,27.00,1082,1009.72,2487274.15,316246.4,1388,169245.3,513405.52,208256.7,3695816.07,96618.54,,96618.54,3792434.61,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,43,37.45,40,37.80,78,76.25,7,7.00,1,1.00,0,0.00,169,159.50,2,2.00,0,0.00,0,0.00,0,0,2,2.00,171,161.50,498006.68,13585.332,0,38352.85,89986.82,43041.24,682972.922,3523.061,,3523.061,686495.983,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1045,983.97,793,775.70,409,401.24,44,42.15,5,5.00,0,0.00,2296,2208.06,51,49.45,11,11.00,44,44.00,0,0,106,104.45,2402,2312.51,4589474.42,373220.82,88114.49,446134.03,936002.58,415231.83,6848178.17,422046.96,30323,452369.96,7300548.13,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,5,5.00,3,2.70,2,2.00,0,0.00,10,9.70,0,0.00,0,0.00,2,1.30,0,0,2,1.30,12,11.00,40514,3591,,,5265,3852,53222,5918,18460,24378,77600,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,5.10,12,5.10,1,0.10,0,0.00,0,0.00,0,0,1,0.10,13,5.20,61943.95,,,,8300.2,3564.26,73808.41,,,0,73808.41,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,80,79.40,11,10.58,228,225.63,115,114.49,23,22.80,1,1.00,458,453.91,46,46.00,106,104.63,187,187.00,0,0,339,337.63,797,791.53,1952830.71,,0,0,95164.34,215855.61,2263850.66,1936230.16,,1936230.16,4200080.82,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.50,18,18.00,64,63.60,13,12.80,4,4.00,68,62.70,195,171.60,7,3.60,0,0.00,0,0.00,0,0,7,3.60,202,175.20,523706.1,6494.26,0,27506.16,106405.27,47257.76,711369.55,18063.136,,18063.136,729432.686,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,17,16.80,14,13.60,12,11.90,3,3.00,0,0.00,47,46.30,0,0.00,0,0.00,5,1.50,0,0,5,1.50,52,47.80,156550,409,,,28459,15711,201129,50878,,50878,252007,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,310,300.00,310,300.00,4,4.00,0,0.00,0,0.00,0,0,4,4.00,314,304.00,857417.02,8082.5,0,29904.74,164982.85,75760.66,1136147.77,5340.63,,5340.63,1141488.4,,,,,
