Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Notes
2022,July,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",73,71.17,455,445.71,2405,2373.24,2652,2583.87,334,320.87,0,0,5919,5794.86,9,9,237,201.14,237,201.14,483,411.28,0,6402,6206.14,22569724.26,916447.6,326900,67783.67,6418274.01,2913833.02,33212962.56,234253,2656783,2891036,36103998.56,Unable to provide the  number of Consultancy/Consultants contracts. On going discussions between HR & Finance to provide this data
2022,July,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",49,41.9,311,292.64,598,554.99,55,51.89,8,8,0,0,1021,949.42,0,0,0,0,0,0,0,0,0,1021,949.42,2579474.74,20834.93,315,2997.42,698358.76,278873.97,3580854.82,0,0,0,3580854.82,
2022,July,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1427,1397.9,164,159.55,33,31.4,0,0,0,0,0,0,1624,1588.85,0,0,0,0,0,0,0,0,0,1624,1588.85,4997908.35,569302.83,0,948263.68,1008051.42,864218.89,8387745.17,0,0,0,8387745.17,
2022,July,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,8.8,29,27.17,191,186.3,79,79,3,3,0,0,312,304.27,11,9.6,0,0,0,0,11,9.6,0,323,313.87,1026478.29,15833.81,5147.45,539.07,276448.64,123050.64,1447497.9,81492,0,81492,1528989.9,
2022,July,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,26,24.6,5,5,0,0,48,46.6,0,0,0,0,0,0,0,0,0,48,46.6,242777,0,0,0,42594,31416,316787,0,0,0,316787,
2022,July,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",450,398.31,332,312.89,336,323.75,97,95.48,8,8,0,0,1223,1138.43,3,3,31,31,0,0,34,34,0,1257,1172.43,2951880.26,89085.29,200,31279.17,801102.17,322689.08,4196235.97,431235.19,0,431235.19,4627471.16,
2022,July,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,1,1,3,2.8,9,9,0,0,1,1,19,18.8,0,0,0,0,0,0,0,0,2,19,18.8,82874.96,216.66,4500,0,23164.54,11003.68,121759.84,0,3650,3650,125409.84,
2022,July,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1666,1564.341667,2337,2078.561562,2223,2007.80548,317,301.6576577,26,26,0,0,6569,5978.366366,0,0,0,0,0,0,0,0,2,6569,5978.366366,15751650.36,296369.51,0,1674137.98,4295382.97,13540624.02,35558164.84,241653.15,224614.71,466267.86,36024432.7,
2022,July,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",539,502.09,208,198.317,769,738.283,148,144.076,12,12,0,0,1676,1594.766,21,21,49,49,0,0,70,70,0,1746,1664.766,4467209.15,33920.17,1250,6935.54,1220932.78,492165.08,6222412.72,935095.76,0,935095.76,7157508.48,
2022,July,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",237,217.41,466,436.1,614,591.52,390,369.24,23,22.7,0,0,1730,1636.97,0,0,0,0,0,0,0,0,0,1730,1636.97,5131318,191345,166654,161231,1459599,639821,7749968,881987,0,881987,8631955,
