Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2022,September,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",71,69.77,390,380.63,2376,2346.14,2710,2639.83,342,328.25,0,0,5889,5764.62,5,5,189,160.6,0,0,194,165.6,5,6083,5930.2,"£22,865,757.15","£879,273.48","£163,954.00","£50,061.78","£6,446,726.37","£2,947,390.00","£33,353,162.78","£1,285,877.00","£3,437,451.00","£4,723,328.00","£38,076,490.78",
2022,September,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",47,39.9,293,275.04,618,575.14,55,51.89,8,8,0,0,1021,949.97,0,0,0,0,0,0,0,0,0,1021,950,"£2,675,786.51","£22,251.62","£166,574.52","£2,474.91","£725,570.59","£318,317.93","£3,910,976.08",£0.00,£0.00,£0.00,"£3,910,976.08",
2022,September,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1409,1380.64,165,160.31,33,31.61,0,0,0,0,0,0,1607,1572.56,0,0,0,0,0,0,0,0,0,1607,1572.6,"£5,211,975.00","£18,284.00",£0.00,"£628,089.00","£1,045,930.00","£747,682.00","£7,651,960.00",,,£0.00,"£7,651,960.00",
2022,September,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",8,7.2,25,23.8,198,192.2,79,77.8,3,3,0,0,313,304,15,12.1,0,0,0,0,15,12.1,0,328,316.1,"£1,013,424.91","£14,332.53","£3,973.63",£0.00,"£275,118.17","£120,194.83","£1,427,044.07","£109,462.00",£0.00,"£109,462.00","£1,536,506.07",
2022,September,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,26,24.6,5,5,0,0,48,46.6,,,,,,,0,0,0,48,46.6,"£448,688.00",£0.00,£0.00,£0.00,"£43,075.00","£21,996.00","£513,759.00",£0.00,£0.00,£0.00,"£513,759.00",
2022,September,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",436,385.85,338,319.35,350,337.33,99,97.29,7,7,0,0,1230,1146.82,1,1,34,34,0,0,35,35,0,1265,1181.8,"£2,994,277.51","£89,271.10",£0.00,"£23,408.13","£810,687.51","£327,612.24","£4,245,256.49","£607,511.60",£0.00,"£607,511.60","£4,852,768.09",
2022,September,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.8,8,8,0,0,1,1,20,19.8,0,0,0,0,0,0,0,0,2,20,19.8,"£79,304.31",£216.66,£0.00,£0.00,"£21,459.34","£9,686.27","£110,666.58",£0.00,"£4,575.00","£4,575.00","£115,241.58",
2022,September,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1747,1640.8,2333,2076.04,2295,2072.52,321,305.09,26,26,0,0,6722,6120.46,0,0,0,0,0,0,0,0,3,6722,6120.5,"£17,883,710.44","£236,835.91","£1,101,628.51","£1,887,349.10","£4,834,636.06","£16,490,296.80","£42,434,456.82","£466,630.92","£15,791.63","£482,422.55","£42,916,879.37",
2022,September,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",521,483.91,197,187.27,772,741.47,155,151.08,12,12,0,0,1657,1575.71,0,0,0,0,0,0,0,0,0,1657,1575.7,"£4,438,606.35","£25,036.92","£19,900.00",£228.50,"£1,204,207.18","£494,268.98","£6,182,247.93","£1,073,652.74",£0.00,"£1,073,652.74","£7,255,900.67",
2022,September,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",229,209.53,459,429.8,615,592.13,399,377.57,23,22.7,0,0,1725,1631.73,0,0,0,0,0,0,0,0,0,1725,1631.7,"£5,431,447.00","£202,436.00","£84,775.00","£147,356.00","£1,553,636.00","£661,540.00","£8,081,190.00","£892,317.00",£0.00,"£892,317.00","£8,973,507.00",
