Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
2021,October,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",184,168.38,659,636.87,3052,2949.77,2023,1954.85,190,183.39,52,52,"6,160",5945.26,27,26.4,12,12,423,422.3,25,24.5,487,485.2,"6,647",6430.46,"£23,590,454.00","£50,530.00","£201,270.00","£68,847.00","£5,612,711.00","£2,355,492.00","£31,879,304.00","£15,411,721.04","£1,457,083.11","£16,868,804.15","£48,748,108.15","Following the recent introduction of a new recruitment system, DEFRA are currently undertaking an exercise to review the methodology used for collecting and reporting contingent labour data. It is anticipated that the new methodology will provide a more accurate reflection of the contingent labour workforce. Once scoping is complete, users will be made aware of the methodological change and any impact on the data reported. "
2021,October,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",809,753.42,774,732.2,885,843.72,201,195.37,4,4,0,0,"2,673",2528.71,92,92,19,19,0,0,0,0,111,111,"2,784",2639.71,"£6,379,194.85","£83,121.59","£47,247.14","£77,482.15","£1,739,012.61","£637,624.16","£8,963,682.50","£410,948.01",£0.00,"£410,948.01","£9,374,630.51",
2021,October,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",60,55.17,130,120.57,328,309.61,113,107.35,4,4,0,0,635,596.7,0,0,0,0,0,0,0,0,0,0,635,596.7,"£1,685,641.00","£8,955.00",£0.00,"£58,371.00","£463,579.00","£184,461.00","£2,401,007.00",£0.00,£0.00,£0.00,"£2,401,007.00",
2021,October,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1257,1145.69,558,508,100,96.27,475,440.73,7,6.46,0,0,"2,397",2197.15,77,72.89,0,0,6,6,0,0,83,78.89,"2,480",2276.04,"£4,780,273.00","£3,925.00","£13,712.00","£103,051.00","£1,263,432.00","£437,530.00","£6,601,923.00","£258,705.66",£0.00,"£258,705.66","£6,860,628.66",
2021,October,Veterinary Medicines Directorate,Executive Agency,"Department for Environment, Food and Rural Affairs",25,24.24,25,24.58,52,50.27,61,60.36,1,1,0,0,164,160.45,13,12.4,0,0,0,0,0,0,13,12.4,177,172.85,"£556,033.00","£13,333.00",£0.00,£179.00,"£154,043.00","£64,196.00","£787,784.00","£62,558.00",£0.00,"£62,558.00","£850,342.00",
2021,October,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,433,416,433,416,0,0,0,0,2,2,0,0,2,2,435,418,"£1,397,830.05",£0.00,£0.00,£0.00,"£132,330.00","£168,145.88","£1,698,305.93","£1,998.00",£0.00,"£1,998.00","£1,700,303.93",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. 
2021,October,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",7,6.43,24,23.07,25,23.99,11,10.81,5,4.81,0,0,72,69.11,8,8,0,0,0,0,0,0,8,8,80,77.11,"£218,479.48","£1,981.33",£0.00,"£2,333.14","£57,232.18","£23,362.92","£303,389.05","£30,872.11",£0.00,"£30,872.11","£334,261.16",
2021,October,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1467,1370.78,2607,2463.71,3328,3133.77,2313,2200.57,100,99.54,815,801.88,"10,630",10070.25,271,263.58,34,32.2,4,3.6,282,241.55,591,540.93,"11,221",10611.18,"£29,435,567.93","£298,704.41","£7,600,968.00","£1,031,971.94","£5,501,915.41","£4,210,837.53","£48,079,965.22","£1,149,681.90","£2,550,188.05","£3,699,869.95","£51,779,835.17",
2021,October,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,9,34,33.6,181,173.1,29,27.62,2,2,7,0.99,262,246.31,2,2,0,0,2,2,0,0,4,4,266,250.31,"£654,151.63","£21,235.24",£0.00,"£1,766.00","£179,823.74","£67,011.61","£923,988.22","£17,403.03",£0.00,"£17,403.03","£941,391.25",
2021,October,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",39,33.65,156,151.69,141,136.39,63,62.08,6,5.19,1,1,406,390,14,13.5,15,14.6,13,12.4,0,0,42,40.5,448,430.5,"£891,657.62",£0.00,"£183,086.19","£30,737.00","£282,211.19","£135,486.41","£1,523,178.41","£290,739.00",£0.00,"£290,739.00","£1,813,917.41",
2021,October,National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,26,25.02,4,4,1,1,0,0,35,33.33,0,0,0,0,0,0,0,0,0,0,35,33.33,"£96,692.54",£0.00,£0.00,"£1,541.00","£26,400.50","£10,090.00","£134,724.04",£0.00,£0.00,£0.00,"£134,724.04",
2021,October,Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",121,110.83,316,302.52,1642,1527.03,229,219.03,20,19.5,11,10.65,"2,339",2189.56,46,46,0,0,0,0,0,0,46,46,"2,385",2235.56,"£5,769,175.16","£56,005.45","£14,650.82","£37,533.75","£1,559,898.49","£571,414.20","£8,008,677.87","£125,000.00",£0.00,"£125,000.00","£8,133,677.87",
2021,October,"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",298,208.64,207,157.03,250,240.32,83,81.04,8,8,69,68.11,915,763.14,0,0,2,2,15,15,1,1,18,18,933,781.14,"£2,155,536.19","£14,121.43",£0.00,"£27,130.27","£473,511.75","£237,164.59","£2,907,464.23","£235,637.89","£5,772.50","£241,410.39","£3,148,874.62",
2021,October,Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",28,27.06,30,29.7,17,17,3,3,1,1,0,0,79,77.76,0,0,0,0,0,0,0,0,0,0,79,77.76,"£264,749.33","£4,022.92",£0.00,£0.00,"£35,844.23","£28,155.32","£332,771.80",£0.00,£0.00,£0.00,"£332,771.80",
