Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,236,225.88697,720,701.27046,2296,2244.68404,1202,1166.91444,151,144.69146,36,35.61081,4641,4519.05818,20,20,5,5,156,149.9,3,1.4,184,176.3,4825,4695.35818,17773082.83,410685.36,802671.07,146281.97,4108442.31,1816181.63,25057345.17,2537032.27,1302623.32,3839655.59,28897000.76,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,135,123.38489,80,75.31839,74,71.27837,17,11.75677,2,2,0,0,308,283.73842,0,0,0,0,0,0,0,0,0,0,308,283.73842,864742.71,0,0,0,0,0,864742.71,0,0,0,864742.71,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10091,8774.26474,2555,2391.31034,2487,2316.38698,618,601.85797,80,78.51352,1,0.86486,15832,14163.19841,0,2042.13,0,0,0,37.97,0,0,0,2080.1,15832,16243.29841,30128658,423020.92,842879.88,858324.92,8647760.5,2802377.01,43703021.23,6522040.2,36654.47,6558694.67,50261715.9,None
Legal Aid Agency,Executive Agency,Ministry of Justice,474,437.37067,324,302.877,288,277.51514,92,91.45195,13,11.55834,0,0,1191,1120.7731,38,36.72,0,0,0,0,0,0,38,36.72,1229,1157.4931,3039551.3,16002.93,80659.73,107429.75,700236.54,285454.74,4229334.99,59414.04,0,59414.04,4288749.03,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28355,26893.79658,6087,5839.62309,6331,6044.86798,728,710.70079,73,72.49459,11354,10453.04467,52928,50014.5277,1154.76,1154.76,7,7,1.4,1.4,0,0,1163.16,1163.16,54091.16,51177.6877,111874314,12916695.78,637826.56,7740700.85,36529406.82,14667731.98,184366676,2527355.05,777122.91,3304477.96,187671154,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,941,858.79869,405,385.7224,180,170.7462,19,19,4,4,0,0,1549,1438.26729,145,133.79,0,0,0,0,0,0,145,133.79,1694,1572.05729,2637093.45,35160.61,77746.04,74432.17,643271.53,230716.94,3698420.74,487127.87,0,487127.87,4185548.61,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2007,1839.896223,2007,1839.896223,49,49,0,0,2,2,0,0,51,51,2058,1890.896223,8264989.66,0,0,0,0,0,8264989.66,477785.13,0,477785.13,8742774.79,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,95,90.58,95,90.58,0,0,0,0,0,0,0,0,0,0,95,90.58,438854,0,450,0,0,0,439304,0,0,0,439304,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,16,15.2,42,41.4,8,7.6,1,1,1,0.4,71,68.4,3,3,0,0,7,7,1,0.1,11,10.1,82,78.5,215283.07,2396.33,6397.5,0,42685.22,23834.53,290596.65,-9711.08,4728,-4983.08,285613.57,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,36,31.25,36,31.25,0,0,0,0,0,0,0,0,0,0,36,31.25,239277,0,0,0,0,0,239277,0,5475,5475,244752,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,11,10.1,94,91.2,39,37.8,8,7.4,1,1,0,0,153,147.5,3,3,0,0,0,0,1,0.6,4,3.6,157,151.1,391956.22,3187.47,4805,213.06,107066.7,42338.7,549567.15,10525.47,86,10611.47,560178.62,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.1,14,13.4,42,40.97,34,32.98,2,2,0,0,95,91.45,4,3.6,0,0,0,0,0,0,4,3.6,99,95.05,323098.94,5062.77,2429.5,0,53988.21,35090.65,419670.07,9896.14,0,9896.14,429566.21,None
