Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2025,October,Cabinet Office,Ministerial Department,Cabinet Office,413.00,371.74,674.00,654.13,2133.00,2091.35,1878.00,1840.39,303.00,298.17,2931.00,2918.14,"8,332","8,174",71,71.00,330,314.90,0.00,0.00,401,386,4.00,"8,733","8,560","£24,626,611.91","£1,069,458.62","£1,080,421.43","£374,430.97","£6,949,160.33","£6,299,118.15","£40,399,201.41","£5,779,611.00","£28,644.76","£5,808,255.76","£46,207,457.17"
2025,October,Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1.00,0.60,4.00,4.00,14.00,13.60,8.00,7.59,1.00,1.00,0.00,0.00,28,27,0,0.00,0,0.00,0.00,0.00,0,0,0.00,28,27,"£111,784.79","£1,013.33","£4,500.00",£0.00,"£33,244.97","£15,935.83","£166,478.92",£0.00,£0.00,£0.00,"£166,478.92"
2025,October,Crown Commercial Service,Executive Non-Departmental Public Body,Cabinet Office,10.00,10.00,86.00,81.97,414.00,390.53,199.00,190.30,26.00,25.90,,,735,699,,,38,37.80,0.00,0.00,38,38,0.00,773,737,"£2,941,596.15","£61,374.22","£26,762.24",£0.00,"£850,985.07","£410,607.96","£4,291,325.64","£509,763.70","£134,179.51","£643,943.21","£4,935,268.85"
2025,October,Government Property Agency,Executive Agency,Cabinet Office,3.00,2.89,15.00,14.10,142.00,140.00,241.00,236.77,34.00,33.43,0.00,0.00,435,427,64,63.00,0,0.00,0.00,0.00,64,63,0.00,499,490,"£2,087,660.00","£153,968.00","£89,250.00",£0.00,"£600,402.00","£323,592.00","£3,254,872.00","£652,506.16",-£745.26,"£651,760.90","£3,906,632.90"
2025,October,Government Commercial Organisation,,Cabinet Office,0.00,0.00,9.00,8.40,106.00,100.00,63.00,59.90,10.00,10.00,0.00,0.00,188,178,1,0.60,3,3.00,0.00,0.00,4,4,0.00,192,182,"£746,622.00","£7,589.00","£1,443.00",£993.00,"£216,160.00","£101,095.00","£1,073,902.00",,"£21,355.00","£21,355.00","£1,095,257.00"
2025,October,Central Civil Service Fast Stream,,Cabinet Office,0.00,0.00,0.00,0.00,48.00,47.81,930.00,911.87,0.00,0.00,0.00,0.00,978,960,0,0.00,0,0.00,0.00,0.00,0,0,0.00,978,960,"£10,683,787.50","£244,081.54","£1,199,753.18",£0.00,"£1,463,706.22",,"£13,591,328.44",£0.00,£0.00,£0.00,"£13,591,328.44"
,,,,,0.00,0.00,0.00,0.00,2230.00,2227.63,0.00,0.00,0.00,0.00,0.00,0.00,"2,230","2,228",0,0.00,0,0.00,0.00,0.00,0,0,0.00,"2,230","2,228","£6,210,053.36","£334,551.67","£45,600.00","£13,468.99","£1,774,228.05",,"£8,377,902.07",£0.00,£0.00,£0.00,"£8,377,902.07"
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
